,name,day,time,statement,topics
837,Infectious Diseases Student Interest Group,3,700,The Infectious Diseases Student Interest Group (IDSIG) is a student-led interest group for College of Medicine students interested in Infect...,"{'Academic/College', 'Special Interest', 'Columbus'}"
838,Information Systems Association,4,1900,"ISA is an organization dedicated to providing MIS, CIS, and CSE students with opportunities to network with technology professionals, profes...","{'Academic/College', 'Columbus', 'Technology'}"
839,INFORMS at The Ohio State University,3,700,"Forge intellectual connections with faculty and professionals that lead to publications, job opportunities, consulting relationships, intern...","{'Academic/College', 'Columbus'}"
840,Ingress Chinese Student Investment,3,700,"To provide non-business Chinese students the most fundamental knowledge about stock market investment, financial institutions' roles, and ma...","{'Social Fraternities/Sororities', 'Special Interest', 'Columbus'}"
841,Inner Engineering Association,3,700,Our purpose is to promote inner well-being by raising human consciousness through individual transformation. We will host and facilitate med...,"{'Columbus', 'Awareness/Activism', 'Sports and Recreation'}"
842,Inorganic Chemistry Exchange,3,1600,"The purpose of this organization is to facilitate intellectual exchange between students of The Ohio State University, particularly those in...","{'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Honoraries/Honor Societies'}"
843,The Institute for Africana Methodologies,5,1500,"The purpose of the Institute for Africana Methodologies is to teach, promote, and critique ways of being that are inclusive of all peoples o...","{'Ethnic/Cultural', 'Columbus'}"
844,Institute for Population Research Graduate Student Organization,3,700,The Institute for Population Research Graduate Student Organization (IPRGSO) has three main goals: 1) To become an interdisciplinary group d...,"{'Academic/College', 'Special Interest', 'Columbus'}"
845,Institute of Industrial & Systems Engineers,3,700,"To be the premier Industrial Engineering student organization committed to developing professional, academic, and social networks that openl...","{'Technology', 'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
846,Integrated Business and Engineering Honors Program,3,700,"The IBE Program teaches technical skills and problem solving through an interdisciplinary approach while emphasizing creativity, innovation,...","{'Academic/College', 'Columbus', 'Honoraries/Honor Societies'}"
847,Integrative Medicine Club,3,700,The purpose of The OSU-CVM Integrative Medicine Club is to educate and provide a source of information for students and staff at The Ohio St...,"{'Academic/College', 'Columbus'}"
848,Intellectual Property Law Society,3,700,"It shall be the purpose of IPLS  to establish a forum for legal education and discussion that are pertinent to the field of cyber, intellect...","{'Academic/College', 'Special Interest', 'Columbus', 'Technology'}"
849,Inter-Professional Council,0,1700,"We, the Inter-Professional Council being those professional students of The Ohio State University elected and appointed by our peers, with o...","{'Academic/College', 'Columbus', 'Governance Organizations', 'Community Service/Service Learning'}"
850,Inter-Professional Students Service Organization,3,700,The Inter-Professional Students Service Organization is a forum for professional students to foster a collaborative relationship of service ...,"{'Columbus', 'Community Service/Service Learning'}"
851,Interdisciplinary Graduate Film Studies Group at The Ohio State University,3,700,"In response to the needs of graduate students of various disciplines interested in film studies, the Ohio State University Interdisciplinary...","{'Creative and Performing Arts', 'Journalism', 'Special Interest', 'Columbus', 'Media', 'Academic/College', 'and Creative Writing'}"
852,Interdisciplinary Resource for Innovative Students,4,1800,We empower students of all disciplines to learn and practice human-centered design and innovation as means of creatively solving problems.,"{'Creative and Performing Arts', 'Special Interest', 'Columbus', 'Academic/College', 'Technology'}"
853,"The Interested Members of Lambda Theta Alpha Latin Sorority, Inc.",0,1500,"Our ultimate goal is to advocate for the empowerment of Latina women and further their growth personally, academically, and professionally. ...","{'Social Fraternities/Sororities', 'Ethnic/Cultural', 'Columbus', 'Awareness/Activism'}"
854,Interfraternity Council at Ohio State,2,1730,The role of the Interfraternity Council (IFC) is to govern the university affiliated social fraternities for male identified individuals at ...,"{'Social Fraternities/Sororities', 'Columbus', 'Governance Organizations'}"
855,The Intergalactic Science Fiction Club,2,2000,"To gather every week to watch, discuss, and have fun with favorite movies, shows, and literary works of the Science Fiction genre. This is a...","{'Journalism', 'Special Interest', 'Columbus', 'Media', 'and Creative Writing'}"
856,Internal Medicine Interest Group,3,2100,"The purposes of this organization shall be to obtain information about careers in internal medicine, promote communication among members and...","{'Academic/College', 'Special Interest', 'Columbus'}"
857,Internal Medicine Ultrasound Community of Practice,3,700,The Internal Medicine Community of Practice will explore applications of bedside focused ultrasound within Internal Medicine. The COP meets ...,"{'Academic/College', 'Columbus'}"
858,International Affairs Club,3,700,"To promote constructive, non-partisan debate and discussion of modern issues in foreign policy and international relations through economic,...","{'Academic/College', 'Special Interest', 'Columbus'}"
859,International Business Club,1,2000,The International Business Club is designed to be a fun and informative group that prepares students to succeed in the global business envir...,"{'Special Interest', 'Academic/College', 'Ethnic/Cultural', 'Columbus'}"
860,International Career Management,3,700,"International Career Management (ICM) is the only student organization at the Ohio State University (OSU), which aims at providing professio...","{'Ethnic/Cultural', 'Governance Organizations', 'Columbus', 'Academic/College', 'Awareness/Activism'}"
861,International City/County Management Association Student Chapter,3,700,"The purpose of the student chapter is to:
i.	Introduce and integrate students to the local government management profession. 
ii.	Familiariz...","{'Academic/College', 'Special Interest', 'Columbus', 'Community Service/Service Learning'}"
862,International Exercise Association,5,1600,Exercise is crucial for both physical and mental health for all students particularly during academic year. One way to cope with stress is b...,"{'Ethnic/Cultural', 'Columbus', 'Sports and Recreation'}"
863,International Friendships,3,700,"International Friendships exists to provide friendship and hospitality for international students, scholars, and family members during their...","{'Ethnic/Cultural', 'Columbus'}"
864,International Genetically Engineered Machine Competition at The Ohio State University,3,700,iGEM at the Ohio State University works throughout the year to design and realize a bioengineered organism with real-life applications in he...,"{'Academic/College', 'Special Interest', 'Columbus', 'Technology'}"
865,International Justice Mission at The Ohio State University,3,1900,IJM at The Ohio State University works to fight against injustice and oppression in the world in the following ways: praying for the IJM sta...,"{'Community Service/Service Learning', 'Columbus', 'Awareness/Activism', 'Religious/Spiritual'}"
866,International Law Society,3,1200,The purpose of the ILS is to raise awareness among law students about opportunities in the area of international law. ILS aims to work with ...,"{'Academic/College', 'Ethnic/Cultural', 'Columbus'}"
867,International Power Volleyball Club,3,700,"We are dedicated to providing international students with a positive environment to enjoy and compete in the
game of volleyball. We are comm...","{'Special Interest', 'Columbus', 'Sports and Recreation'}"
868,International Samaritan,0,1800,"We serve victims of severe poverty in developing countries by partnering with them and others to alleviate hunger, homelessness, endemic dis...","{'Ethnic/Cultural', 'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
869,International Society for Pharmaceutical Engineering - Ohio State Chapter,3,700,"The International Society for Pharmaceutical Engineering provides a forum for the exchange of industry information among manufacturers, supp...","{'Academic/College', 'Columbus'}"
870,International Society of Muslim Women in Science at Ohio State,3,700,"The objectives of the organization will be to support, encourage, help, and strengthen the confidence of Muslim women in the field of scienc...","{'Ethnic/Cultural', 'Awareness/Activism', 'Columbus', 'Academic/College', 'Religious/Spiritual'}"
871,International Student Council,3,700,The International Student Council serves as an umbrella and platform organization for international students to enhance the communication be...,"{'Ethnic/Cultural', 'Columbus', 'Governance Organizations', 'Awareness/Activism'}"
872,International Students Community Service,3,700,Unite international students through a passion for community service while giving back to the Ohio State and Columbus communities.,"{'Columbus', 'Community Service/Service Learning'}"
873,International Undergraduate Future Orientation,5,1630,Our mission at IUFO is to help international undergraduate students plan ahead of time before graduation for a better future. In order to fu...,"{'Academic/College', 'Ethnic/Cultural', 'Columbus'}"
874,International Veterinary Student Association,3,700,The mission of IVSA is to benefit the animals and people of the world by harnessing the potential and dedication of veterinary students to p...,"{'Academic/College', 'Special Interest', 'Columbus', 'Awareness/Activism'}"
875,International Youth Fellowship,5,1500,The mission of International Youth Fellowship is to develop leaders of the next generation who possess humility and strong leadership and to...,"{'Columbus', 'Awareness/Activism'}"
876,Intersections,3,700,"Intersections is a graduate student organization based in the Department of Women's, Gender and Sexuality Studies. Its purpose is to foster ...","{'Academic/College', 'Special Interest', 'Columbus', 'Awareness/Activism'}"
877,InterVarsity: Black Student Movement,2,1900,"InterVarsity:Black Student Movement desires to manifest the whole Kingdom of God as a loving, witnessing community for black students throug...","{'Ethnic/Cultural', 'Columbus', 'Awareness/Activism', 'Religious/Spiritual'}"
878,Interventional Radiology Interest Group,4,1800,The Interventional Radiology Interest Group serves to educate medical students about the field of Interventional Radiology. By putting on va...,"{'Academic/College', 'Special Interest', 'Columbus', 'Honoraries/Honor Societies'}"
879,Iranian Cultural Association,4,1900,Iran is often solely defined by its controversial theocratic government and political tensions with the international community. The Iranian...,"{'Ethnic/Cultural', 'Creative and Performing Arts', 'Special Interest', 'Columbus', 'Awareness/Activism'}"
880,The Irish Dance Team at The Ohio State University,0,1500,The Irish Dance Team at The Ohio State University is a club meant to serve students with a prior knowledge or training in Irish Dance. We wi...,"{'Ethnic/Cultural', 'Creative and Performing Arts', 'Sports and Recreation', 'Special Interest', 'Columbus'}"
881,ISKCON Yoga Circle,1,1900,What you eat is what you become! We associate to explore a part of the widely practiced and most vibrant culture of Bhakti-yoga (called Kris...,"{'Religious/Spiritual', 'Ethnic/Cultural', 'Columbus', 'Awareness/Activism'}"
882,It's On Us — The Ohio State University,3,700,The Ohio State University's It’s On Us chapter is devoted to ending sexual violence in our community and empowering survivors of sexual viol...,"{'Community Service/Service Learning', 'Special Interest', 'Columbus', 'Awareness/Activism'}"
883,Italian Club,3,700,The Italian Club is a social and cultural organization whose purpose is to promote Italian language and culture through activities and event...,"{'Academic/College', 'Ethnic/Cultural', 'Columbus'}"
884,J2K,3,700,"J2K is a student dance organization open to individuals of all skill levels that primarily dances to Korean, Chinese, and Japanese pop music...","{'Ethnic/Cultural', 'Special Interest', 'Columbus', 'Creative and Performing Arts'}"
885,Jacob's Porch's Students,0,1806,"Jacob's Porch is a multifaceted, multi-denominational, collaborative Christian community for college students. We are queer aligned, justice...","{'Community Service/Service Learning', 'Columbus', 'Awareness/Activism', 'Religious/Spiritual'}"
886,"Japanese Conversation Club, Oshaberi-kai",5,1730,"Oshaberi-kai exists:
1) To provide a forum for students at OSU to interact in Japanese, and 
2) To facilitate a better understanding of Japa...","{'Academic/College', 'Ethnic/Cultural', 'Columbus'}"
887,Japanese Graduate Studies Association at The Ohio State University,3,700,We aim to provide a place for academic discussion and support for graduate-level scholars studying topics related to Japanese studies. This ...,"{'Special Interest', 'Academic/College', 'Ethnic/Cultural', 'Columbus'}"
888,Japanese Student Organization,2,1900,The mission of the Japanese Student Organization is to host a variety of events where students and the local community can enjoy and learn a...,"{'Ethnic/Cultural', 'Columbus'}"
889,Jazz Club at Ohio State,2,2000,The Jazz Club at Ohio State serves the greater Columbus community by achieving three goals. The first initiative is to spread awareness and ...,"{'Ethnic/Cultural', 'Columbus', 'Creative and Performing Arts'}"
890,Jewish Business Student Association,3,1900,JBSA strives to create numerous networking opportunities as well as have learning sessions to maximize the professional development of its m...,"{'Academic/College', 'Ethnic/Cultural', 'Columbus'}"
891,Jewish Law Students Association,3,1200,"The Jewish Law Student Association (JLSA) seeks to facilitate an active and engaged Jewish community at Moritz through educational, cultural...","{'Ethnic/Cultural', 'Columbus', 'Religious/Spiritual'}"
892,Jewish Women's Collective,1,1630,"JWC seeks to connect OSU women with women in the community of all backgrounds and experiences to share goals, learn life skills, and underst...","{'Columbus', 'Religious/Spiritual'}"
893,Jews on Campus,3,700,"Jews on Campus reaches out to students in residence halls and primarily first-year students by introducing them to Jewish life - cultural, s...","{'Ethnic/Cultural', 'Columbus'}"
894,Jigsaw Club,3,700,To provide a relaxing environment for students to work on jigsaw puzzles. Student life can be stressful and Jigsaw Club wants to help by cre...,"{'Special Interest', 'Columbus'}"
895,John Glenn Civic Leadership Council,4,1800,"The mission of the John Glenn Civic Leadership Council is to increase amongst students, faculty, staff, and others at The Ohio State Univers...","{'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Awareness/Activism'}"
896,John Glenn College of Public Affairs Student Association,3,700,"The John Glenn College of Public Affairs Student Association's purpose is to act as the official liaison between students, faculty, and staf...","{'Community Service/Service Learning', 'Academic/College', 'Columbus', 'Awareness/Activism'}"
897,Joint Diversity Team,3,700,"The purpose of JDT is to promote, improve, and celebrate diversity and inclusion within research groups of the Department of Chemistry and B...","{'Academic/College', 'Ethnic/Cultural', 'Columbus', 'Awareness/Activism'}"
898,The Joint Safety Team,3,700,The purpose of this organization is to promote awareness and improve laboratory safety and chemical hygiene in the Department of Chemistry a...,"{'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
899,Jordanian Student Organization,5,2939,"The purpose of JSO at OSU is to preserve and expand a network of students and faculty, as well as to provide an atmosphere where Jordanian a...","{'Ethnic/Cultural', 'Special Interest', 'Columbus', 'Awareness/Activism'}"
900,Journal of Politics & International Affairs,4,1830,To provide undergraduate students the opportunity to present their research to a broader audience.,"{'Journalism', 'Columbus', 'Media', 'Academic/College', 'and Creative Writing'}"
901,The Journal of Undergraduate Research at Ohio State (JUROS) Editorial Board,3,700,The purpose of the JUROS Editorial Board is to organize and promote The Journal of Undergraduate Research at Ohio State. The JUROS Editorial...,"{'Journalism', 'Columbus', 'Media', 'Academic/College', 'and Creative Writing'}"
902,The Juggling Club at The Ohio State University,0,1600,To provide a forum for the exchange of juggling and related object manipulation knowledge.,"{'Special Interest', 'Columbus', 'Creative and Performing Arts', 'Sports and Recreation'}"
903,Jump Rope Club at The Ohio State University,1,1930,"The Jump Rope Club at The Ohio State University is a club that aims to share the sport of jump rope, promote physical fitness and bring stud...","{'Special Interest', 'Columbus', 'Creative and Performing Arts', 'Sports and Recreation'}"
904,Jump-Off,3,700,The purpose of the Jump-Off organization is to host alternative events to the Ohio State community including monthly on campus church servic...,"{'Columbus', 'Religious/Spiritual'}"
905,Just a Minute,3,700,To facilitate the improvement of students' public speaking skills through impromptu speeches and debates in a friendly environment conducive...,"{'Academic/College', 'Columbus'}"
906,Kappa Alpha Psi Fraternity Inc.,0,1500,Honorable Achievement In Every Field of Human Endeavor.,"{'Social Fraternities/Sororities', 'Columbus'}"
907,Kappa Alpha Theta,1,1815,"Yesterday, today, and tomorrow, Kappa Alpha Theta exists to nurture each member throughout her college and alumnae experience and to offer a...","{'Social Fraternities/Sororities', 'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
908,Kappa Delta,1,1900,The purpose of Kappa Delta Sorority is to promote true friendship among the college girls of our country by inculcating into their hearts an...,"{'Social Fraternities/Sororities', 'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
909,Kappa Delta Rho,1,1900,"Greek organization fostering the hearts of men by taking advantage of higher education through scholarship, service, philanthropy, brotherho...","{'Social Fraternities/Sororities', 'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
910,Kappa Kappa Gamma Sorority,1,1900,"To unite its members in a close bond of friendship seeking, to instill in them a spirit of mutual love and helpfullness, to the end that eac...","{'Social Fraternities/Sororities', 'Columbus'}"
911,Kappa Kappa Psi,1,2030,Kappa Kappa Psi is an honorary service organization whose purposes includes serving college and university band programs through service pro...,"{'Creative and Performing Arts', 'Columbus', 'Honoraries/Honor Societies'}"
912,Kappa Phi Kappa,1,1900,Kappa Phi Kappa exists to help unite current and future teachers and those interested in the field of education under the same principles an...,"{'Academic/College', 'Special Interest', 'Columbus', 'Community Service/Service Learning'}"
913,"Kappa Phi Lambda Sorority, Inc.",4,1900,"We, the sisters of Kappa Phi Lambda Sorority, Incorporated, strive to strengthen Sisterhood amongst women by providing service and promoting...","{'Ethnic/Cultural', 'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
914,"Kappa Psi Pharmaceutical Fraternity, Inc.",1,1130,"The objectives are to conduct a fraternal organization for the mutual benefit of the member; to advance the profession of Pharmacy, educatio...","{'Social Fraternities/Sororities', 'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
915,Kedma,3,700,To promote and foster community building and relationships amongst traditional Jewish students and the entire OSU campus community.,"{'Columbus', 'Religious/Spiritual'}"
916,Kendo Club,3,700,Kendo Club exists to allow students and members of the community to gather and participate in one of Japan's oldest martial arts - the way o...,"{'Ethnic/Cultural', 'Columbus', 'Sports and Recreation'}"
917,Kesher,5,1700,Kesher strives to meet the needs of all OSU students interested in supporting the reform movement and creating dialog amongst its members an...,"{'Columbus', 'Religious/Spiritual'}"
918,Kickboxing Club at Ohio State,4,2000,"With the massive growth of mixed martial arts and combat sports, along with competitive organizations such as the UFC, kickboxing sports, in...","{'Special Interest', 'Columbus', 'Creative and Performing Arts', 'Sports and Recreation'}"
919,Kinesiology Graduate Student Council,3,700,"The purpose of the KGSC is to cultivate an interdisciplinary community dedicated to promoting personal, professional growth and enhancing s...","{'Academic/College', 'Special Interest', 'Columbus', 'Sports and Recreation'}"
920,Kingdom Asian Basketball Club,5,3200,The purpose of this organization is to offer an unprecedented opportunity for students at The Ohio State University to participate in events...,"{'Special Interest', 'Columbus', 'Sports and Recreation'}"
921,Kingdom University,2,1900,One united body of Christ in the African American community on the campus of The Ohio State University.  Through the coming together of AAV ...,"{'Columbus', 'Religious/Spiritual'}"
922,Knitting and Crafting Club,2,1900,"A group of individuals from different backgrounds who come together as friends to talk, laugh, and craft. We teach students to create with f...","{'Special Interest', 'Columbus', 'Creative and Performing Arts'}"
923,Know Food Waste,3,700,"The KNOW: Educate the The Ohio State University community on food waste.
To provide the community with the “know-hows” for reducing and re-p...","{'Special Interest', 'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
924,Knowlton Nomads,3,700,Knowlton Nomads’s purpose is to enrich the graduate classroom experience by using cities around the U.S. (including Columbus) as models to b...,"{'Academic/College', 'Special Interest', 'Columbus'}"
925,KOACH,3,700,"KOACH seeks to create a welcoming celebrate Jewish holidays and culture in a smaller, closer environment","{'Ethnic/Cultural', 'Columbus'}"
926,Korea's Island Dokdo,1,1900,"To raise awareness of the value of an island of Korea, Dokdo, which is an ongoing debating issue between Japan and Korea throughout the hist...","{'Ethnic/Cultural', 'Columbus', 'Awareness/Activism'}"
927,Korean Graduate Student Association,3,700,The Korean Graduate Student Association (KGSA) has three main purposes. The first purpose is to assist with the US visa process and settleme...,"{'Ethnic/Cultural', 'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
928,Korean International Student Organization,3,1930,Main purpose of KISO is to help Korean international students adapt to overall student life at the Ohio State University. This organization ...,"{'Community Service/Service Learning', 'Ethnic/Cultural', 'Columbus', 'Awareness/Activism'}"
929,Korean Student Association,0,1700,The purpose of the Korean Student Association is to promote the education and enrichment of its members and the university community with as...,"{'Ethnic/Cultural', 'Columbus', 'Awareness/Activism'}"
930,Krav Maga Club at Ohio State,3,700,Our goal is to teach students how to protect themselves in different types of dangerous situations.,"{'Special Interest', 'Columbus', 'Awareness/Activism', 'Sports and Recreation'}"
931,Labor and Employment Law Association,3,700,LELA fosters a greater understanding of the practice of labor and employment law. Moritz students have an opportunity to learn about the lat...,"{'Academic/College', 'Special Interest', 'Columbus'}"
932,Ladies of Leadership,2,1800,"Our ultimate goal is to promote the personal, academic, and professional growth of first year women of color through mentoring and sisterhoo...","{'Ethnic/Cultural', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Awareness/Activism'}"
933,"Lambda Phi Epsilon International Fraternity, Inc.",3,700,"As leaders of Lambda Phi Epsilon, we advocate for the empowerment of men from all backgrounds and identities, within and outside, of the Asi...","{'Social Fraternities/Sororities', 'Ethnic/Cultural', 'Columbus', 'Awareness/Activism'}"
934,Lambda Psi Minority Engineering Honorary,4,1415,Lambda Psi Minority Engineering Honorary is an undergraduate honorary which targets underrepresented minorities within the College of Engine...,"{'Academic/College', 'Columbus', 'Honoraries/Honor Societies', 'Community Service/Service Learning'}"
935,Landacre Honor Society,3,700,The Landacre Honor Society promotes excellence in medicine through academic achievement and the pursuit of scientific research.,"{'Academic/College', 'Columbus', 'Honoraries/Honor Societies'}"
936,Language or Logic Society,4,1630,The purpose of Logic Or Language Society is to create a forum for dialogue amongst graduate students on the subject of philosophy of logic a...,"{'Academic/College', 'Special Interest', 'Columbus'}"
937,Latino Law Students Association,3,700,The Latino Law Students Association (LLSA) is an organization dedicated to preparing its members for their professional roles in society and...,"{'Ethnic/Cultural', 'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
938,Latino Medical Student Association at The Ohio State University College of Medicine,1,1200,"LMSA @ OSUCOM, is a network of students, alumni, and health professionals whose mission is to promote the development of Latino students thr...","{'Ethnic/Cultural', 'Special Interest', 'Columbus'}"
939,Latinx in Vet Med,3,700,"By holding general body meetings and cultural events and by collaborating with other student groups, Latinx in Vet Med hopes to strengthen a...","{'Ethnic/Cultural', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Awareness/Activism'}"
940,Latinx Student Association,4,1930,The Latinx Student Association at The Ohio State University is dedicated to celebrating the Latine culture as well as fostering and bringing...,"{'Community Service/Service Learning', 'Ethnic/Cultural', 'Columbus', 'Awareness/Activism'}"
941,Latter-Day Saint Student Association,3,700,The mission of the Latter-day Saint Student Association is to enrich the lives of Ohio State Students and prepare them for successful and ba...,"{'Community Service/Service Learning', 'Columbus', 'Religious/Spiritual'}"
942,Law School Democrats,3,700,"This organization shall foster and perpetuate the philosophy, principles, and goals of the Democratic Party; to develop leadership skills in...","{'Special Interest', 'Columbus', 'Awareness/Activism'}"
943,Leading in Global Health Together,3,700,The purpose of Leading in Global Health Together (LIGHT) is to design education and synthesize the current resources offered at OSU and Colu...,"{'Special Interest', 'Columbus', 'Awareness/Activism'}"
944,Lebanese Student Organization,3,1800,"The purpose of LSO is to sustain and grow a network of students, faculty and alumni at OSU interested in Lebanese culture and to develop its...","{'Ethnic/Cultural', 'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Awareness/Activism'}"
945,Leighton Undergraduate Philosophy Club,3,1830,"To provide a forum for students to discuss philosophical questions with and to hear new philosophical thoughts from professors, grad student...","{'Academic/College', 'Special Interest', 'Columbus'}"
946,LGBTQ+ & Allies in Medicine,3,700,"We are an organization of Gay, Lesbian, Bisexual, Transgender, Intersex, Queer, Questioning and Straight medical students who support each o...","{'Ethnic/Cultural', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Awareness/Activism'}"
947,LifeWave Wellness,0,1500,LifeWave Wellness will strive to implement a learning model centered around holistic education that is virtual and effective. This will cons...,"{'Academic/College', 'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
948,Lighthouse,6,1830,Lighthouse serves as a home for a close-knit community of Christians who desire to strengthen their relationship with God and to follow Him ...,"{'Community Service/Service Learning', 'Special Interest', 'Columbus', 'Religious/Spiritual'}"
949,Line Dancing,3,700,Introduce line dancing to students and faculty at Ohio State and provide enjoyment and entertainment as well as a place to socially connect.,"{'Columbus', 'Creative and Performing Arts', 'Sports and Recreation'}"
950,Links Club,3,700,The Links Club seeks to bring together golfers of all backgrounds and skill levels for recreational and networking purposes.,"{'Special Interest', 'Columbus', 'Sports and Recreation'}"
951,Lions Club at Ohio State,3,700,"(a) To create and foster a spirit of understanding
among the peoples of the world.
(b) To promote the principles of good government and
good...","{'Academic/College', 'Special Interest', 'Columbus', 'Community Service/Service Learning'}"
952,The Logistics Association,3,700,"The Logistics Association is a not-for-profit professional organization which provides: 

leadership in developing, defining, and understand...","{'Academic/College', 'Columbus'}"
953,The Longboarding Club,4,1900,The Longboarding Club seeks to establish a network among The Ohio State University's longboarding community and to progress the skill levels...,"{'Special Interest', 'Columbus', 'Sports and Recreation'}"
954,Louis Stokes Alliance for Minority Participation Student Organization,5,1730,"To encourage, promote and retain minority students in STEM fields by hosting one social event and one service event per month for LSAMP scho...","{'Academic/College', 'Ethnic/Cultural', 'Columbus', 'Community Service/Service Learning'}"
955,LovetheNations,4,2000,"Mission: To Love OSU by encouraging a culture of prayer, supporting a tangible space to pray.

Our vision is a campus transformed. We want t...","{'Creative and Performing Arts', 'Columbus', 'Awareness/Activism', 'Religious/Spiritual'}"
956,Low Vision Rehabilitation Club,3,700,The purpose of this organization is to provide information to future optometrists so that each member of the Low Vision Rehabilitation Club ...,"{'Academic/College', 'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
957,Lutheran Church Missouri Synod - University,1,1600,"The purpose of LCMS-U is to offer a confessional Lutheran community for the Lutheran students, faculty, and staff of Ohio State University. ...","{'Ethnic/Cultural', 'Special Interest', 'Columbus', 'Religious/Spiritual'}"
958,MAcc Association,3,700,The purpose of the MAcc Association is to improve the student experience of everyone currently enrolled in the Master of Accounting program....,"{'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
959,Mad Royal Film Society,1,1900,"We are a film/video production organization aiming to create a community that promotes creativity, inclusivity and collaboration. As a group...","{'Creative and Performing Arts', 'Journalism', 'Special Interest', 'Columbus', 'Media', 'and Creative Writing'}"
960,Magazines For Literacy,3,700,"There are over 18 million U.S. kids in poverty, including over a million homeless students. Two-thirds of children in poverty have ZERO book...","{'Academic/College', 'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
961,Magic the Gathering at The Ohio State University,1,1800,We strive to offer an environment on campus where students with an interest in the card game Magic: the Gathering can come and meet others w...,"{'Special Interest', 'Columbus'}"
962,Majors & minors,3,700,To provide musical entertainment to the Ohio State and Columbus communities and offer a fun and creative outlet to any and all students acro...,"{'Special Interest', 'Columbus', 'Creative and Performing Arts'}"
963,Make-A-Wish at Ohio State,3,700,"Wishmakers on Campus: Make-A-Wish at Ohio State will strive to raise funds to finance the fruition of granting wishes, improve awareness for...","{'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
964,The Maker Club at The Ohio State University,1,1830,The Maker Club serves to foster a community of shared creativity and hands-on learning experiences on Ohio State's campus and in the communi...,"{'Special Interest', 'Columbus', 'Creative and Performing Arts', 'Technology'}"
965,Malaysian Students Association,3,1900,The Malaysian Students Association aims to represent the Malaysian student community in The Ohio State University; To promote Malaysia's uni...,"{'Academic/College', 'Ethnic/Cultural', 'Columbus'}"
966,Manga Student Association,3,1800,"Dedicated to fostering interest and knowledge of the Japanese art form known as manga, this organization will seek to provide for individual...","{'Special Interest', 'Ethnic/Cultural', 'Columbus'}"
967,Manna,3,1930,"Manna is the Asian-American campus ministry branch of the Columbus Chinese Christian Church, striving to understand the Word of God in order...","{'Ethnic/Cultural', 'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Religious/Spiritual'}"
968,MannMukti at The Ohio State University,4,1800,"Our mission is to encourage healthy, open dialogue of South Asian mental health issues in an effort to remove stigma, improve awareness and ...","{'Community Service/Service Learning', 'Ethnic/Cultural', 'Columbus', 'Awareness/Activism'}"
969,March of Dimes at Ohio State,3,1730,Premature birth (birth before 37 weeks of pregnancy) and its complications are the #1 cause of death of babies in the United States. Our mis...,"{'Special Interest', 'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
970,Masters of Human Resource Management Council,0,1900,"To enhance the educational, professional, leadership, and social experiences of the MHRM program.","{'Academic/College', 'Columbus', 'Governance Organizations'}"
971,Materials Science and Engineering Club,3,1900,The Materials Science and Engineering Club (MSE Club) is dedicated to promoting Materials Science to interested students in the College of E...,"{'Academic/College', 'Special Interest', 'Columbus', 'Technology'}"
972,Mathematics Graduate Student Association,2,1715,The purpose of the MGSA is to provide graduate students in the Department of Mathematics the opportunity to interact with each other and pre...,"{'Academic/College', 'Columbus'}"
973,MD Camp at The Ohio State University,4,1630,M.D. Camp aims at increasing the number of physicians who are underrepresented in medicine and who elect to practice in underserved areas. T...,"{'Academic/College', 'Ethnic/Cultural', 'Columbus'}"
974,Meat Science Club,2,1900,"To promote the meat industry through educational and industrial experiences by means of interaction with professors, leaders of the industry...","{'Academic/College', 'Special Interest', 'Columbus', 'Community Service/Service Learning'}"
975,"Mechanical, Aerospace, and Nuclear Engineering Graduate Student Association",3,3100,"Our mission is to create a group that advises, assists, supports, and socially involves graduate
students in the Department of Mechanical En...","{'Technology', 'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
